Message,Label
Win a free iPhone now!,Spam
"Congratulations, you have won a lottery!",Spam
Please call me when you get this message,Ham
Meeting is scheduled for 3 PM tomorrow,Ham
Claim your free vacation tickets today!,Spam
Can we reschedule our appointment?,Ham
"Exclusive offer just for you, click now!",Spam
Your package is out for delivery,Ham
Earn $1000 per week from home!,Spam
Don't forget about the family dinner tonight,Ham
Get a free gift card by completing this survey,Spam
Your bank account has been updated,Ham
"Hurry up, sale ends tonight!",Spam
Let me know your availability for the meeting,Ham
You are selected for a special prize!,Spam
The project deadline has been extended,Ham
Access your account immediately to secure it,Spam
We are waiting for your response,Ham
Act now to win amazing rewards!,Spam
Your subscription has been renewed,Ham
